workers,drones
1,17
1,21
2,20
2,19
1,22
1,25
3,23
2,19
1,24
1,23
2,22
1,22
1,22
1,22
1,21
1,21
3,18
1,18
2,22
1,22
2,21
2,21
2,16
2,18
2,16
1,15
1,18
1,19
1,18
1,17
1,16
3,16
2,16
1,16
1,15
1,14
1,17
2,17
2,16
2,14
2,13
1,14
2,13
1,16
3,17
3,18
2,18
3,20
4,14
2,17
3,18
2,18
3,16
4,14
3,18
3,15
3,17
2,19
4,15
2,17
2,16
2,17
1,16
1,16
0,17
2,21
2,23
2,18
1,19
2,17
2,15
1,15
2,20
1,20
3,19
2,18
2,20
2,21
2,21
2,19
2,18
2,21
2,23
3,20
3,20
1,20
0,19
1,23
2,21
2,16
1,20
0,17
2,20
1,21
1,20
1,21
1,20
1,20
0,19
1,17
2,15
1,16
2,13
3,14
2,14
1,15
1,17
1,14
1,12
2,14
2,16
1,14
2,13
3,13
5,11
3,10
3,12
3,12
2,12
3,13
2,17
4,14
3,12
4,15
4,17
1,17
2,18
2,19
4,16
2,19
3,20
3,19
2,24
2,19
2,19
2,19
2,17
2,19
2,20
3,20
3,21
4,19
5,21
6,22
4,17
4,22
3,19
4,20
5,18
3,20
3,20
5,18
5,20
5,19
4,19
3,19
4,18
4,16
4,14
4,16
4,16
4,20
4,19
4,21
5,24
5,20
4,22
4,21
4,22
5,23
5,23
5,23
5,19
5,21
4,22
4,23
4,19
4,22
3,25
4,24
4,24
3,24
3,20
3,19
3,19
3,20
3,17
3,18
5,17
4,17
4,17
3,19
3,20
4,18
4,19
3,17
3,18
2,22
2,20
2,17
1,16
4,16
1,19
2,18
1,17
2,18
3,16
3,21
3,21
2,20
2,20
2,19
1,19
1,17
2,17
2,12
1,12
2,12
2,14
3,16
1,16
1,18
2,16
3,16
3,18
3,21
1,20
1,19
3,19
2,19
2,17
2,14
2,15
3,11
4,10
2,15
1,14
2,14
0,13
1,15
1,15
2,19
2,20
2,20
3,18
3,20
3,16
2,19
3,16
2,22
2,20
3,17
3,17
3,17
3,16
3,17
4,18
4,18
3,18
5,16
4,15
3,19
3,18
3,17
3,21
4,19
2,17
2,15
2,14
3,15
3,14
2,14
3,12
3,10
4,10
4,13
3,13
3,13
3,13
3,16
3,13
2,13
3,15
3,15
3,17
3,17
2,17
3,22
4,23
3,24
4,23
3,22
2,19
3,13
2,15
2,18
2,19
3,19
2,16
2,20
2,19
3,18
3,17
3,18
4,18
3,16
2,14
2,16
3,18
2,15
3,18
3,16
2,20
2,20
2,20
1,18
2,13
2,15
2,14
2,13
2,15
2,14
2,13
3,12
3,12
3,12
2,11
3,12
3,12
2,13
2,13
2,16
2,18
3,16
3,18
3,17
3,14
2,17
3,17
2,16
5,14
4,15
5,13
4,13
4,15
3,14
2,13
4,13
3,14
4,13
4,15
4,17
4,15
3,16
2,17
2,17
4,16
3,20
2,19
